val_0_xcoord,val_0_ycoord,val_1_xcoord,val_1_ycoord,val_2_xcoord,val_2_ycoord,val_3_xcoord,val_3_ycoord,val_4_xcoord,val_4_ycoord,val_5_xcoord,val_5_ycoord,val_6_xcoord,val_6_ycoord,val_7_xcoord,val_7_ycoord,val_8_xcoord,val_8_ycoord,val_9_xcoord,val_9_ycoord,val_10_xcoord,val_10_ycoord,val_11_xcoord,val_11_ycoord,val_12_xcoord,val_12_ycoord,val_13_xcoord,val_13_ycoord,val_14_xcoord,val_14_ycoord,val_15_xcoord,val_15_ycoord,val_16_xcoord,val_16_ycoord,val_17_xcoord,val_17_ycoord,val_18_xcoord,val_18_ycoord,val_19_xcoord,val_19_ycoord,val_20_xcoord,val_20_ycoord,val_21_xcoord,val_21_ycoord,val_22_xcoord,val_22_ycoord,val_23_xcoord,val_23_ycoord
8.583,1.002,0.562,1.583,0.167,-1.709,14.104,-22.692,70.565,16.237,17.022,61.182,0.336,1.039,10.487,5.682,,,-7.311,-76.757,,,5.902,-8.393,0.722,2.618,0.16,3.249,10.153,1.234,,,,,,,,,,,,,,,,,,
8.974,1.001,0.561,1.581,0.151,-1.72,14.099,-22.697,70.584,16.231,8.423,12.353,0.328,1.034,9.754,3.743,,,-7.331,-76.759,,,5.901,-8.393,0.726,2.627,0.155,3.067,10.153,1.184,,,,,,,,,,,,,,,,,,
8.974,1.004,0.56,1.577,0.133,-1.728,16.946,-25.496,70.601,16.221,8.423,12.345,0.319,1.03,9.736,2.943,,,,,,,5.877,-8.43,0.731,2.635,0.333,2.423,10.045,1.184,,,,,,,,,,,,,,,,,,
9.015,1.028,0.56,1.572,0.114,-1.732,16.94,-25.502,70.615,16.207,7.564,5.646,0.309,1.028,9.736,2.923,,,,,,,5.877,-9.462,0.738,2.642,0.417,1.696,,,,,,,,,,,,,,,,,,,,
9.774,1.028,0.561,1.569,0.094,-1.732,17.471,-26.019,70.627,16.192,7.558,5.627,0.299,1.028,9.819,2.516,,,,,,,5.902,-9.491,0.74,2.643,0.391,1.395,,,,,,,,,,,,,,,,,,,,
9.819,1.001,0.543,1.378,0.075,-1.728,20.647,-39.515,70.636,16.174,7.536,5.403,0.289,1.03,9.825,2.447,,,,,,,5.902,-11.982,0.749,2.656,0.358,1.243,,,,,,,,,,,,,,,,,,,,
9.96,1.001,0.543,1.377,0.056,-1.721,16.951,-76.599,70.64,16.155,7.553,5.001,0.28,1.034,9.836,2.401,,,,,,,,,0.889,2.796,0.374,1.243,,,,,,,,,,,,,,,,,,,,
9.96,1.025,0.441,1.179,0.04,-1.71,16.945,-76.618,70.641,16.135,8.291,2.835,0.272,1.039,9.898,2.135,,,,,,,,,1.052,2.905,0.355,1.192,,,,,,,,,,,,,,,,,,,,
10.01,1.025,0.437,1.172,0.026,-1.696,16.935,-76.635,70.638,16.116,8.383,2.897,0.265,1.046,10.01,1.649,,,,,,,,,1.234,2.981,0.283,1.192,,,,,,,,,,,,,,,,,,,,
10.01,1.001,0.423,1.148,0.015,-1.68,16.923,-76.65,70.632,16.097,8.565,2.973,0.26,1.054,10.01,1.14,,,,,,,,,1.428,3.019,,,,,,,,,,,,,,,,,,,,,,
10.034,1.001,0.374,1.148,0.007,-1.662,16.908,-76.663,70.622,16.08,8.759,3.011,0.256,1.063,9.96,1.14,,,,,,,,,1.624,3.019,,,,,,,,,,,,,,,,,,,,,,
10.034,0.951,,,0.003,-1.643,16.89,-76.672,70.608,16.066,8.955,3.011,0.254,1.073,,,,,,,,,,,1.818,2.981,,,,,,,,,,,,,,,,,,,,,,
9.81,0.951,,,0.002,-1.498,16.871,-76.678,70.593,16.054,9.149,2.973,0.254,1.083,,,,,,,,,,,1.955,2.924,,,,,,,,,,,,,,,,,,,,,,
9.776,0.928,,,0.001,-1.493,16.852,-76.679,70.575,16.045,9.331,2.897,0.256,1.093,,,,,,,,,,,2.415,5.112,,,,,,,,,,,,,,,,,,,,,,
9.016,0.928,,,0.001,-1.356,,,70.556,16.041,9.494,2.788,0.26,1.101,,,,,,,,,,,2.415,5.398,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-1.356,,,42.104,14.658,9.634,2.648,0.218,1.166,,,,,,,,,,,2.385,5.628,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-1.206,,,12.233,4.501,9.643,2.636,0.218,1.277,,,,,,,,,,,2.372,5.667,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.001,-1.06,,,12.052,4.395,9.644,2.635,0.219,1.297,,,,,,,,,,,2.369,5.672,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-1.055,,,10.599,3.039,9.652,2.63,0.236,1.664,,,,,,,,,,,2.363,5.691,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,-0.224,,,10.593,3.036,9.659,2.623,0.236,1.665,,,,,,,,,,,1.65,12.783,,,,,,,,,,,,,,,,,,,,,,
,,,,0.008,-0.218,,,10.435,2.351,9.664,2.615,0.237,1.691,,,,,,,,,,,1.65,12.784,,,,,,,,,,,,,,,,,,,,,,
,,,,0.109,-0.012,,,10.434,2.349,9.668,2.606,0.019,2.338,,,,,,,,,,,-4.798,32.067,,,,,,,,,,,,,,,,,,,,,,
,,,,0.109,-0.011,,,10.434,2.348,9.67,2.596,-0.377,2.975,,,,,,,,,,,-30.323,52.797,,,,,,,,,,,,,,,,,,,,,,
,,,,0.133,0.055,,,10.433,2.343,9.67,2.586,-0.502,3.082,,,,,,,,,,,-30.335,52.812,,,,,,,,,,,,,,,,,,,,,,
,,,,0.133,1.51,,,10.43,2.329,9.668,2.576,-0.514,3.087,,,,,,,,,,,-30.345,52.829,,,,,,,,,,,,,,,,,,,,,,
,,,,0.112,1.61,,,10.428,2.321,9.664,2.567,-0.53,3.099,,,,,,,,,,,-30.35,52.848,,,,,,,,,,,,,,,,,,,,,,
,,,,0.113,1.61,,,10.426,2.31,9.659,2.559,-2.223,4.933,,,,,,,,,,,-30.352,52.867,,,,,,,,,,,,,,,,,,,,,,
,,,,0.105,1.682,,,10.319,1.85,9.652,2.552,-12.584,8.705,,,,,,,,,,,-30.351,52.887,,,,,,,,,,,,,,,,,,,,,,
,,,,-0.248,2.25,,,10.249,1.547,9.644,2.547,-34.279,6.862,,,,,,,,,,,-30.345,52.906,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.03,2.872,,,10.249,0.014,9.635,2.543,-65.227,-7.68,,,,,,,,,,,-30.336,52.923,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.169,2.909,,,10.347,-0.192,9.625,2.541,-65.247,-7.684,,,,,,,,,,,-30.323,52.939,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.168,2.91,,,10.37,-0.221,9.615,2.541,-65.266,-7.685,,,,,,,,,,,-30.308,52.951,,,,,,,,,,,,,,,,,,,,,,
,,,,-1.186,2.915,,,10.38,-0.251,9.605,2.543,,,,,,,,,,,,,-30.291,52.961,,,,,,,,,,,,,,,,,,,,,,
,,,,-3.847,4.199,,,10.38,-1.35,9.596,2.547,,,,,,,,,,,,,-30.272,52.966,,,,,,,,,,,,,,,,,,,,,,
,,,,-13.252,4.412,,,10.382,-1.641,9.588,2.552,,,,,,,,,,,,,-30.253,52.968,,,,,,,,,,,,,,,,,,,,,,
